LN4122	DS17990	fIntestine_Lg
LN4128	DS18015	hTH1
LN4129	DS18018	iTH1
LN4130	DS18021	MCF7
LN4131	DS18025	MCF7_ER
LN4135	DS18065	CD14
LN4136	DS18080	fMuscle_arm
LN4137	DS18083	fMuscle_back
LN4139	DS18088	fKidney_renal_pelvis
LN4148	DS18170	fLung_L
LN4149	DS18174	fMuscle_lower_limb
LN4150	DS18176	fMuscle_arm
LN4156	DS18208	CD20
LN4158	DS18224	Skin_Fibroblasts
LN4159	DS18229	Skin_Fibroblasts
LN4163	DS18252	Skin_Fibroblasts
LN4164	DS18256	Skin_Fibroblasts
LN4168	DS18267	MCF7
LN4170	DS18271	MCF7_ER
LN4251	DS18377	fMuscle_back
LN4252	DS18379	fMuscle_arm
LN4253	DS18382	fThymus
LN4254	DS18386	fMuscle_leg
LN4255	DS18389	fStomach
LN4266	DS18418	fLung_R
LN4267	DS18421	fLung_L
LN4269	DS18428	fKidney_renal_cortex
LN4270	DS18431	fKidney_renal_pelvis
LN4271	DS18438	vHMEC
LN4277	DS18452	fMuscle_arm
LN4278	DS18454	fMuscle_back
LN4279	DS18456	fMuscle_leg
LN4280	DS18463	fKidney_R
LN4281	DS18466	fKidney_L
LN4282	DS18468	fMuscle_back
LN4283	DS18471	fMuscle_leg
LN4284	DS18473	fMuscle_arm
LN4290	DS18487	fLung_L
LN4292	DS18492	fLung_R
LN4295	DS18499	fIntestine_Lg
LN4296	DS18501	fSpinal_cord
LN4313	DS18542	fKidney_renal_cortex_L
LN4317	DS18559	fMuscle_arm
LN4335	DS18601	Skin_Melanocytes
LN4346	DS18637	GM04503D
LN4347	DS18640	GM04503D
LN4358	DS18663	fKidney_renal_pelvis_R
LN4359	DS18666	fKidney_renal_pelvis_L
LN4360	DS18668	Skin_Melanocytes
LN4367	DS18695	Skin_Keratinocytes
LN4373	DS18714	Skin_Keratinocytes
LN4374	DS18718	Skin_Keratinocytes
LN4376	DS18732	Mesendoderm
LN4388	DS18821	fStomach
LN4392	DS18842	fMuscle_back
LN4393	DS18844	fMuscle_leg
LN4408	DS18928	fKidney_renal_cortex_R
LN4409	DS18931	fKidney_renal_cortex_L
LN4413	DS18942	fTestes
LN4423	DS18961	fKidney_renal_pelvis_R
LN4424	DS18964	fKidney_renal_pelvis_L
LN4427	DS18973	GM04504A
LN4428	DS18975	GM04504A
LN4439	DS18992	fMuscle_arm
LN4445	DS19051	fMuscle_arm
LN4446	DS19053	fMuscle_arm
LN4468	DS19115	fMuscle_leg
LN4469	DS19117	fMuscle_back
LN4486	DS19174	fSkin_fibro_back
LN4490	DS19233	fSkin_fibro_back
LN4491	DS19235	fKidney_renal_pelvis_R
LN4492	DS19238	fKidney_renal_pelvis_L
LN4498	DS19254	fKidney_renal_cortex_R
LN4499	DS19257	fKidney_renal_cortex_L
LN4501	DS19270	fMuscle_arm
LN4502	DS19272	fMuscle_leg
LN4506	DS19283	fMuscle_upper_back
LN4510	DS19291	fMuscle_leg
LN4511	DS19295	fMuscle_arm
LN4515	DS19310	Mesendoderm
LN4520	DS19380	fMuscle_arm
LN4522	DS19384	fMuscle_back
LN4523	DS19386	fKidney_renal_pelvis
LN4524	DS19388	fKidney_renal_cortex
LN4525	DS19391	fPlacenta
LN4528	DS19427	fHeart
LN4529	DS19431	fHeart
LN4531	DS19436	fMuscle_leg
LN4533	DS19441	fMuscle_back
LN4534	DS19444	fSkin_fibro_scalp
LN4535	DS19449	fSkin_fibro_scalp
LN4586	DS19558	fSkin_fibro_abdomen
LN4587	DS19561	fSkin_fibro_abdomen
LN4607	DS19643	fMuscle_leg
LN4608	DS19646	fMuscle_arm
LN4609	DS19648	fMuscle_back
LN4630	DS19696	fSkin_fibro_upper_back
LN4632	DS19706	fSkin_fibro_upper_back
LN4644	DS19745	fSkin_fibro_bicep_R
LN4647	DS19761	fSkin_fibro_bicep_R
LN4655	DS19790	T_47D
LN4656	DS19794	T_47D
LN4663	DS19857	fSkin_fibro_bicep_L
LN4665	DS19867	fSkin_fibro_bicep_L
LN4690	DS19943	fSkin_fibro_leg_R_quad
LN4691	DS19948	fSkin_fibro_leg_R_quad
LN4705	DS20018	fKidney_renal_cortex
LN4706	DS20022	fKidney_renal_pelvis
LN4707	DS20024	fKidney_renal_cortex
LN4708	DS20027	fKidney_renal_pelvis
LN4711	DS20046	fSkin_fibro_leg_L_quad
LN4712	DS20056	fSkin_fibro_leg_L_quad
LN4749	DS20170	fTestes
LN4769	DS20221	fBrain
LN4770	DS20226	fBrain
LN4771	DS20231	fBrain
LN4772	DS20239	fMuscle_leg
LN4773	DS20242	fMuscle_trunk
LN4774	DS20244	fMuscle_back
LN4801	DS20325	Psoas_Muscle
LN4802	DS20335	fThymus
LN4803	DS20341	fThymus
LN4804	DS20343	fAdrenal
LN4806	DS20349	fStomach
LN4807	DS20351	fSpinal_cord
LN4854	DS20448	fKidney_renal_pelvis
LN4858	DS20485	LHCN_M2
LN4859	DS20493	M059J
LN4860	DS20497	M059J
LN4862	DS20514	MSC
LN4863	DS20518	MSC
LN4865	DS20530	fSpinal_cord
LN4866	DS20534	LHCN_M2_D4
LN4868	DS20544	fMuscle_trunk
LN4869	DS20546	fStomach
LN4870	DS20548	LHCN_M2
LN4871	DS20564	fKidney
LN4872	DS20568	fKidney_renal_cortex
LN4873	DS20570	fKidney_renal_pelvis
LN4874	DS20647	LHCN_M2_D4
LN4879	DS20671	MSC
LN4899	DS20770	Small_Intestine_Mucosa
LN4901	DS20780	fBrain
LN4903	DS20789	fMuscle_back
LN4906	DS20797	fMuscle_leg
LN4930	DS20904	RPMI_7951
LN4931	DS20909	RPMI_7951
LN4936	DS20951	fKidney_R
LN4938	DS20956	fSpinal_cord
LN4998	DS21417	SK-N-DZ+RA (3 days)
LN10000	DS18406	vHMEC
LN10003	DS21405	SK-N-DZ+RA (3 days)
LN10004	DS21399	SKNDZ
LN10005	DS21387	SKNDZ
LN10006	DS19662	Skin_Melanocytes
LN10007	DS18590	Skin_Melanocytes
LN10008	DS18692	Skin_Keratinocytes
LN10011	DS20753	Pancreas
LN10012	DS20827	Ovary
LN10036	DS15153	iPS_19_11
LN10039	DS20383	Heart
LN10043	DS21042	MSC
LN10048	DS20260	Stomach_Mucosa
LN10050	DS19675	fThymus
LN10051	DS20791	fStomach
LN10052	DS20079	fStomach
LN10053	DS19933	fStomach
LN10054	DS19260	fSpinal_cord
LN10066	DS20346	fPlacenta
LN10067	DS21111	fPlacenta
LN10068	DS20793	fPlacenta
LN10069	DS17445	fOvary
LN10070	DS19439	fMuscle_arm
LN10072	DS19382	fMuscle_leg
LN10073	DS21328	fLung_R
LN10074	DS21334	fLung_L
LN10076	DS20917	fKidney_R
LN10077	DS21340	fKidney_R
LN10078	DS21044	fKidney_R
LN10079	DS20445	fKidney_renal_cortex
LN10080	DS20920	fKidney_L
LN10081	DS21344	fKidney_L
LN10082	DS20953	fKidney_L
LN10083	DS21096	fKidney
LN10084	DS20987	fKidney
LN10085	DS19583	fAdrenal
LN10086	DS19395	fAdrenal
LN10087	DS12734	CD34
